term,l,estimate,se,tval,pval,feature
lag_level,NA,-1.3287683263541754,0.6278550534429179,-2.1163616014042033,0.039638230287379096,GDP
host,NA,-0.6229218548487878,0.45343633586322035,-1.3737801882659288,0.17602706943528157,GDP
rel_time_bin::-16:is_underperformer,-16,0.4348213735148099,1.0060130566467833,0.43222239576506616,0.6675564292058003,GDP
rel_time_bin::-15:is_underperformer,-15,0.48921706757524436,1.1045785577242806,0.4428992977947706,0.659870426768191,GDP
rel_time_bin::-14:is_underperformer,-14,0.8707645582176397,0.9173148568173021,0.9492537395925621,0.34734731831313836,GDP
rel_time_bin::-13:is_underperformer,-13,0.035714390156080925,0.9592248941123903,0.03723255138111162,0.9704572791543372,GDP
rel_time_bin::-12:is_underperformer,-12,-0.19464595845048,0.8061915681204146,-0.24143884176844582,0.8102652799440617,GDP
rel_time_bin::-11:is_underperformer,-11,-0.5154652628699536,0.8797726497022678,-0.5859073512280669,0.5607409977123181,GDP
rel_time_bin::-10:is_underperformer,-10,-0.6637586815239523,1.0076567889741987,-0.6587150394725798,0.5132930193918199,GDP
rel_time_bin::-9:is_underperformer,-9,-0.5659874945982375,0.9188039838542555,-0.616004615286928,0.540863479120961,GDP
rel_time_bin::-8:is_underperformer,-8,-0.6979441643001735,1.0082079336990428,-0.6922621226947364,0.49217889102434964,GDP
rel_time_bin::-7:is_underperformer,-7,-0.6640690312151087,0.9894541069231676,-0.6711468743912895,0.5054121982162558,GDP
rel_time_bin::-6:is_underperformer,-6,-0.7033500276234123,0.9933451435145777,-0.7080620791428779,0.4824035808823649,GDP
rel_time_bin::-5:is_underperformer,-5,-0.16283264174879572,1.06868906260471,-0.15236671492821738,0.879549926065435,GDP
rel_time_bin::-4:is_underperformer,-4,0.3267365959877293,0.9805060346849711,0.3332326211461893,0.7404407284594963,GDP
rel_time_bin::-3:is_underperformer,-3,0.36686923876703265,0.7623090495875541,0.48126050578243373,0.6325644686021257,GDP
rel_time_bin::-2:is_underperformer,-2,0.3564438885029888,0.4967830264348481,0.7175041608426119,0.4766142191941962,GDP
rel_time_bin::-1:is_underperformer,-1,0.12359066547201161,0.2979664397376051,0.4147804886377402,0.6801898376781925,GDP
rel_time_bin::1:is_underperformer,1,0.4951228416848362,0.2831559416356383,1.7485871524530976,0.08689158974448252,GDP
rel_time_bin::2:is_underperformer,2,0.46006436374159776,0.6458914357954151,0.7122936429324669,0.47980415285312883,GDP
rel_time_bin::3:is_underperformer,3,0.9089081726551508,0.9608439656665935,0.9459477346299284,0.34901332455918577,GDP
rel_time_bin::4:is_underperformer,4,0.5352414626280615,1.1329002297830848,0.47245242657470693,0.6387903914181066,GDP
rel_time_bin::5:is_underperformer,5,0.3964487866341996,1.2199881101257113,0.3249611888376095,0.7466525493636584,GDP
rel_time_bin::6:is_underperformer,6,0.37161240133746537,1.2309775914487184,0.30188396922816485,0.7640723244896974,GDP
rel_time_bin::7:is_underperformer,7,0.09358848730768092,1.229770534622885,0.07610239851484185,0.9396606593232989,GDP
rel_time_bin::8:is_underperformer,8,0.31113572777893417,0.9808853959025283,0.31719885837698014,0.7524975398059176,GDP
rel_time_bin::9:is_underperformer,9,0.39356003733557204,1.1242471569867527,0.3500654058938478,0.7278535597223496,GDP
rel_time_bin::10:is_underperformer,10,0.47771614098054693,1.0389424101067881,0.459810030212786,0.6477725989756167,GDP
rel_time_bin::11:is_underperformer,11,0.3571980527021599,1.0585262966984066,0.3374484448957739,0.7372813355916843,GDP
rel_time_bin::12:is_underperformer,12,0.17557723993314406,1.2154786975194793,0.14445110415464954,0.8857619072440304,GDP
rel_time_bin::13:is_underperformer,13,-0.3973518974580276,1.0349765594084952,-0.38392357183926973,0.7027665172829477,GDP
rel_time_bin::14:is_underperformer,14,-0.655520148898675,1.1325045793858484,-0.5788233980070618,0.5654721075669985,GDP
rel_time_bin::15:is_underperformer,15,-0.06173168809128066,1.035080773388195,-0.059639488703099416,0.9526956360557,GDP
rel_time_bin::16:is_underperformer,16,0.13509128676851295,0.9312554675665737,0.14506361731385542,0.8852809576713372,GDP
